metric,best_agent
functional_pass_at_1,claude_code
functional_first_pass_success,codex_cli
functional_mean_reciprocal_rank,codex_cli
functional_success_rate,claude_code
similarity_normalized_edit_distance,claude_code
similarity_sequence_similarity,claude_code
similarity_jaccard_similarity,claude_code
similarity_code_bleu,claude_code
similarity_rouge_l,claude_code
similarity_token_precision,claude_code
similarity_token_recall,gemini_cli
similarity_token_f1,claude_code
quality_syntactic_validity,codex_cli
quality_cyclomatic_complexity,codex_cli
quality_halstead_volume,codex_cli
quality_halstead_difficulty,claude_code
quality_halstead_effort,claude_code
quality_maintainability_index,codex_cli
reliability_output_stability,claude_code
reliability_semantic_consistency,claude_code
