task_id,agent,difficulty,category,pass_at_1,pass_at_5,passing_samples,total_samples,latency_median_ms,latency_mean_ms,latency_p95_ms,latency_std_ms,stability_score,exact_match_rate,unique_outputs,tags
CODEGEN-001,claude_code,easy,codegen-core,1.0,1.0,3,3,5922.69,6195.05,6926.94,608.77,1.0,1.0,1,"array,hash-table,easy"
CODEGEN-001,codex_cli,easy,codegen-core,1.0,1.0,3,3,4053.43,4594.0,6566.18,1662.1,0.4206,0.6667,2,"array,hash-table,easy"
CODEGEN-001,gemini_cli,easy,codegen-core,1.0,1.0,3,3,11361.87,11631.04,13182.48,1335.65,0.0,0.3333,3,"array,hash-table,easy"
CODEGEN-002,claude_code,easy,codegen-core,1.0,1.0,3,3,5109.8,5223.73,5458.28,194.11,1.0,1.0,1,"string,easy"
CODEGEN-002,codex_cli,easy,codegen-core,1.0,1.0,3,3,5050.56,5270.9,7176.13,1665.79,1.0,1.0,1,"string,easy"
CODEGEN-002,gemini_cli,easy,codegen-core,1.0,1.0,3,3,14027.41,19818.33,31958.59,10047.37,0.0,0.3333,3,"string,easy"
CODEGEN-003,claude_code,easy,codegen-core,1.0,1.0,3,3,5604.06,7601.69,11181.83,2970.95,1.0,1.0,1,"basic,loop,easy"
CODEGEN-003,codex_cli,easy,codegen-core,1.0,1.0,3,3,3658.76,3673.31,3851.17,157.07,1.0,1.0,1,"basic,loop,easy"
CODEGEN-003,gemini_cli,easy,codegen-core,1.0,1.0,3,3,10420.34,10329.27,10503.03,197.36,0.4206,0.6667,2,"basic,loop,easy"
CODEGEN-004,claude_code,medium,codegen-core,1.0,1.0,3,3,5153.63,5200.82,5345.84,121.26,1.0,1.0,1,"list,two-pointer,medium"
CODEGEN-004,codex_cli,medium,codegen-core,1.0,1.0,3,3,2872.78,3032.82,3419.11,320.29,1.0,1.0,1,"list,two-pointer,medium"
CODEGEN-004,gemini_cli,medium,codegen-core,1.0,1.0,3,3,10410.46,10034.83,10532.71,629.71,0.0,0.3333,3,"list,two-pointer,medium"
